Section,Level,Points,Format_Note,Feedback
"Use of ""causal language"" in any section other than the proposal",1,-15,,"This one might have caught some people out, in the results and discussion, using causal language is inappropriate since we don't have a true experiment (no true IV manipulation or random assignment)… only associative tests. The -15 in red is Cal's and is part of the rubric… it will be on everyone's and does not indicate a loss of points… IF I did take points for that it will be indicated otherwise. Even though we can run the anovas, it still isn't causal, so avoid words like caused, led to, affected, changed, etc."
Title Page / Title Section,1,5,,"Title should be something that ties in the tests you did and your proposal, what is the theme of your references in sum… that's a good place to start"
Running head,2,1,,"No Running head remember the rules on this, 50 characters max, put it in the header at the top of each page and add page numbers. See the Student Template Handout for more details."
Title,2,2,,"Title should be something that ties in the tests you did and your proposal, what is the theme of your references in sum… that's a good place to start"
Author(s) & Affiliation,2,2,,Your name and UNL
Abstract,1,10,,"Don't forget the section header, properly formatted, first line is not indented on abstracts. 150-250 words."
Behaviors/variables being studied,2,3,,"I need you to explain to me what CONCEPTS you are interested in here. By just saying variables – and not even naming them or explaining their relevance – I know little about your study."
Population & sample description,2,3,,"More than just N= …. From where, rough demographic makeup etc. Don't need every single detail here, but it should adequately describe the sample."
Summary of results,2,4,,"You don't need to relay every single minor point, but include a mention of each result, lump them together if possible. Describe your findings in plain language!"
Introduction,1,65,,"Don't forget to format the first page correctly, include title etc."
Purpose of current study,2,5,,"Tell me what the concept behind your core variable is and why I should care. This is an intro paragraph to introduce your reader to the purpose of your study. Everywhere outside of the methods and results, be sure to talk about the variables as psychological constructs, not in terms of their variable names or specific measures."
"Summary of 1st article (use proper citation, discuss relevant findings)",2,10,,"Don't just start this with summary of article one – carry on where the purpose paragraph left off smoothly. Start with the big picture and work down into details. Tie findings to your own RHs. Explain WHY you've chosen this ref as it relates to your RHs. Each reference should have an in-text citation. For these, consider that they should be 2-3 very dense and informative sentences. The best way to think about it: when I get to your RHs there is a hypothesized correlation/mean difference AND a direction/higher mean – HOW did you arrive at each of those conclusions and WHY is that logic supported by your refs?"
